id,title,language,action,mythological,folk_horror,gore,sarcasm_comedy,romance,drama_social,thriller_investigative,sci_fi_fantasy,slice_of_life,crime_mafia,political,sports,survival,melodrama
1,Kantara,Kannada,8,9,8,5,4,6,8,6,3,5,4,6,1,5,6
2,Baahubali: The Beginning,Telugu,9,8,2,4,3,7,6,3,2,1,3,8,1,3,8
3,Baahubali 2: The Conclusion,Telugu,9,8,2,4,3,7,6,3,2,1,3,8,1,3,8
4,RRR,Telugu,10,7,1,5,4,4,7,4,1,2,2,9,2,4,8
5,KGF: Chapter 1,Kannada,10,3,1,8,2,3,5,5,1,1,10,8,0,4,7
6,KGF: Chapter 2,Kannada,10,3,1,8,2,3,5,5,1,1,10,8,0,4,7
7,Pushpa: The Rise,Telugu,8,1,1,7,4,3,7,2,6,9,7,7,9,9,6
8,Vikram,Tamil,3,2,0,1,8,3,9,2,1,5,7,5,7,4,5
9,Leo,Tamil,2,2,8,1,6,9,8,2,0,3,9,1,1,2,3
10,Jailer,Tamil,3,1,1,4,6,3,6,6,0,7,3,3,7,9,9
11,Ponniyin Selvan: I,Tamil,7,8,8,1,2,5,4,2,6,1,9,8,0,9,3
12,Ponniyin Selvan: II,Tamil,5,8,5,6,2,7,8,2,2,9,5,5,2,4,6
13,Drishyam,Malayalam,4,0,1,4,2,2,6,10,0,4,5,3,0,5,6
14,Drishyam 2,Malayalam,4,0,1,4,2,2,6,10,0,4,5,3,0,5,6
15,Manjummel Boys,Malayalam,5,1,2,2,4,1,6,5,0,6,0,2,1,10,7
16,Premalu,Malayalam,2,0,0,0,8,9,7,2,0,10,1,1,1,2,6
17,Aavesham,Malayalam,7,0,1,4,10,3,5,6,1,3,8,2,0,2,3
18,Bramayugam,Malayalam,4,9,10,7,1,1,8,8,3,1,2,6,0,7,5
19,2018,Malayalam,5,1,2,2,4,1,6,5,0,6,0,2,1,10,7
20,Kumbalangi Nights,Malayalam,2,0,0,0,8,9,7,2,0,10,1,1,1,2,6
21,Lucifer,Malayalam,7,2,5,1,2,3,4,6,2,5,9,8,9,4,3
22,Minnal Murali,Malayalam,5,6,8,7,4,1,9,2,1,1,9,8,1,4,9
23,Kalki 2898 AD,Telugu,8,8,1,3,4,4,4,7,10,1,2,5,0,5,5
24,Sita Ramam,Telugu,5,0,5,6,6,9,6,2,6,9,9,8,0,4,9
25,Eega,Telugu,9,0,5,4,4,5,7,8,6,1,7,3,1,7,9
26,Magadheera,Telugu,3,2,1,2,9,3,8,2,0,1,5,7,7,1,9
27,Arjun Reddy,Telugu,8,8,1,1,6,9,7,9,1,7,5,8,7,4,8
28,Jersey,Telugu,5,2,8,7,2,3,8,8,2,3,5,1,7,7,3
29,C/o Kancharapalem,Telugu,9,8,0,1,2,1,7,9,0,3,9,8,7,1,8
30,Vikram Vedha,Tamil,5,2,5,4,4,3,6,9,2,9,3,3,9,2,3
31,Ratsasan,Tamil,4,0,1,4,2,2,6,10,0,4,5,3,0,5,6
32,Kaithi,Tamil,9,1,2,4,8,5,8,9,1,3,7,3,0,9,6
33,Asuran,Tamil,6,1,1,6,2,2,10,8,0,5,4,9,0,4,7
34,Jai Bhim,Tamil,6,1,1,6,2,2,10,8,0,5,4,9,0,4,7
